"발생년","발생년월일시","주야","요일","사망자수","부상자수","중상자수","경상자수","부상신고자수","발생지시도","발생지시군구","사고유형_대분류","사고유형_중분류","사고유형","가해자법규위반","도로형태_대분류","도로형태","가해자_당사자종별","피해자_당사자종별","발생위치(X_UTMK)","발생위치(Y_UTMK)","경도","위도"," 어린이사고 여부"
"2015","2015-01-01 05","야","목","1","0","0","0","0","서울","영등포구","차대차","기타","기타","안전운전 의무 불이행","단일로","지하차도(도로)내","승용차","건설기계","949521","1946280","126.928799","37.51442588","N"
"2015","2015-01-01 05","야","목","1","0","0","0","0","울산","남구","차대사람","횡단중","횡단중","안전운전 의무 불이행","교차로","교차로부근","승용차","보행자","1159202","1728395","129.2561467","35.538755","N"
"2015","2015-01-01 14","주","목","1","0","0","0","0","전북","군산시","차량단독","전도전복","전도전복","안전운전 의무 불이행","기타/불명","기타/불명","농기계","없음","934705","1776858","126.7756585","35.98631413","N"
"2015","2015-01-01 21","야","목","1","0","0","0","0","광주","동구","차대사람","횡단중","횡단중","안전운전 의무 불이행","단일로","횡단보도상","승용차","보행자","948213","1684783","126.9313967","35.15696444","N"
"2015","2015-01-02 06","주","금","1","0","0","0","0","부산","영도구","차대사람","횡단중","횡단중","안전운전 의무 불이행","단일로","기타단일로","승용차","보행자","1142714","1678614","129.0656593","35.09256151","N"
"2015","2015-01-02 06","주","금","1","0","0","0","0","울산","남구","차대사람","차도통행중","차도통행중","안전운전 의무 불이행","교차로","교차로내","승용차","보행자","1168168","1720763","129.3534236","35.46849521","N"
"2015","2015-01-02 11","주","금","1","3","1","1","1","경북","칠곡군","차대차","기타","기타","안전운전 의무 불이행","교차로","교차로내","승용차","승용차","1080026","1779167","128.3879752","36.00603163","N"
"2015","2015-01-02 17","주","금","1","0","0","0","0","경기","수원시","차대사람","기타","기타","과속","교차로","교차로내","승합차","보행자","954929","1922294","126.9914549","37.29850929","N"
"2015","2015-01-02 17","주","금","1","6","0","6","0","경기","평택시","차대차","추돌","주정차중 추돌","안전운전 의무 불이행","단일로","기타단일로","화물차","화물차","948003","1882268","126.9160884","36.93736221","N"
"2015","2015-01-02 20","야","금","1","0","0","0","0","경기","고양시","차대사람","기타","기타","안전운전 의무 불이행","단일로","기타단일로","승용차","보행자","942693","1961185","126.850374","37.64836519","N"
"2015","2015-01-02 21","야","금","1","0","0","0","0","경기","용인시","차대사람","차도통행중","차도통행중","안전운전 의무 불이행","단일로","기타단일로","승용차","보행자","980827","1914922","127.283854","37.23295322","N"
