구,학교명,설치일,
도봉구,서울누원초등학교,2017-10-20,
,서울방학초등학교,2016-06-09,
,서울숭미초등학교,2018-11-14,
,서울신방학초등학교,2017-07-14,
,서울신학초등학교,2017-07-14,
,서울신화초등학교,2017-10-19,
,서울쌍문초등학교,2018-08-20,
,서울오봉초등학교,2018-07-24,
,서울월천초등학교,2016-11-21,
,서울자운초등학교,2016-11-21,
,서울창도초등학교,2016-10-19,
,서울창동초등학교,2017-07-13,
,서울창원초등학교,2018-11-14,
,서울창일초등학교,2017-07-13,
,서울초당초등학교,2016-11-23,
중랑구,서울중랑초등학교,2016-06-01,
,서울묵동초등학교,2017-07-01,
,서울원묵초등학교,2017-09-01,
,서울신현초등학교,2017-10-01,
,서울봉화초등학교,2017-10-01,
,서울상봉초등학교,2018-11-01,
,서울신내초등학교,2018-11-01,
,금성초등학교,2019-09-20,
,서울동원초등학교,2019-09-18,
,서울면동초등학교,2019-09-20,
,서울면일초등학교,2019-09-18,
,서울신묵초등학교,2019-09-18,
,서울중곡초등학교,2019-09-20,
,서울중화초등학교,2019-09-19,
중랑구 따로빼둔 데이터,서울 중랑구 봉화산로 250 삼거리 인근,2018-11-01,
동대문구,서울홍파초등학교,2016-05-01,
,서울이문초등학교,2017-04-01,
,서울휘봉초등학교,2021-09-01,
,서울전농초등학교,2021-09-01,
은평구,서울은명초등학교,2016-05-18,
,서울증산초등학교,2016-10-17,
,서울서신초등학교,2016-10-20,
,서울연신초등학교,2017-06-02,
,서울은진초등학교,2017-05-30,
,서울구산초등학교,2017-06-15,
,서울상신초등학교,2017-06-15,
,서울구현초등학교,2017-06-15,
,예일초등학교,2017-06-15,
,선일초등학교,2017-06-22,
,서울신도초등학교,2017-06-22,
,서울녹번초등학교,2017-06-22,
,서울연천초등학교,2017-06-22,
,서울구산초등학교,2017-09-29,
,서울진관초등학교,2017-10-13,
,서울은빛초등학교,2017-10-23,
,서울상신초등학교,2018-04-20,
