구,학교명,설치일
도봉구,서울누원초등학교,2017-10-20
도봉구,서울방학초등학교,2016-06-09
도봉구,서울숭미초등학교,2018-11-14
도봉구,서울신방학초등학교,2017-07-14
도봉구,서울신학초등학교,2017-07-14
도봉구,서울신화초등학교,2017-10-19
도봉구,서울쌍문초등학교,2018-08-20
도봉구,서울오봉초등학교,2018-07-24
도봉구,서울월천초등학교,2016-11-21
도봉구,서울자운초등학교,2016-11-21
도봉구,서울창도초등학교,2016-10-19
도봉구,서울창동초등학교,2017-07-13
도봉구,서울창원초등학교,2018-11-14
도봉구,서울창일초등학교,2017-07-13
도봉구,서울초당초등학교,2016-11-23
중랑구,서울중랑초등학교,2016-06-01
중랑구,서울묵동초등학교,2017-07-01
중랑구,서울원묵초등학교,2017-09-01
중랑구,서울신현초등학교,2017-10-01
중랑구,서울봉화초등학교,2017-10-01
중랑구,서울상봉초등학교,2018-11-01
중랑구,서울신내초등학교,2018-11-01
중랑구,금성초등학교,2019-09-20
중랑구,서울동원초등학교,2019-09-18
중랑구,서울면동초등학교,2019-09-20
중랑구,서울면일초등학교,2019-09-18
중랑구,서울신묵초등학교,2019-09-18
중랑구,서울중곡초등학교,2019-09-20
중랑구,서울중화초등학교,2019-09-19
중랑구,서울 중랑구 봉화산로 250 삼거리 인근,2018-11-01
동대문구,서울홍파초등학교,2016-05-01
동대문구,서울이문초등학교,2017-04-01
동대문구,서울휘봉초등학교,2021-09-01
동대문구,서울전농초등학교,2021-09-01
은평구,서울은명초등학교,2016-05-18
은평구,서울증산초등학교,2016-10-17
은평구,서울서신초등학교,2016-10-20
은평구,서울연신초등학교,2017-06-02
은평구,서울은진초등학교,2017-05-30
은평구,서울구산초등학교,2017-06-15
은평구,서울상신초등학교,2017-06-15
은평구,서울구현초등학교,2017-06-15
은평구,예일초등학교,2017-06-15
은평구,선일초등학교,2017-06-22
은평구,서울신도초등학교,2017-06-22
은평구,서울녹번초등학교,2017-06-22
은평구,서울연천초등학교,2017-06-22
은평구,서울구산초등학교,2017-09-29
은평구,서울진관초등학교,2017-10-13
은평구,서울은빛초등학교,2017-10-23
은평구,서울상신초등학교,2018-04-20
강남구,서울일원초등학교,2019-01-01
강남구,서울자곡초등학교,2019-01-01
강남구,서울대진초등학교,2019-01-01
강남구,서울논현초등학교,2019-01-01
강남구,서울대왕초등학교,2019-01-01
강남구,서울구룡초등학교,2019-01-01
강남구,서울개일초등학교,2020-01-01
강남구,서울대도초등학교,2020-01-01
강남구,서울대청초등학교,2020-01-01
강남구,서울대모초등학교,2020-01-01
강남구,서울삼릉초등학교,2020-01-01
강남구,서울수서초등학교,2020-01-01
강남구,서울신구초등학교,2020-01-01
강남구,서울왕북초등학교,2020-01-01
강남구,서울언주초등학교,2020-01-01
강남구,서울영희초등학교,2020-01-01
강남구,서울율현초등학교,2020-01-01
강남구,서울청담초등학교,2020-01-01
강남구,서울세명초등학교,2020-01-01
강남구,서울언북초등학교,2020-01-01
강남구,서울도성초등학교,2020-01-01
강남구,서울포이초등학교,2020-01-01
강남구,서울대치초등학교,2020-01-01
강남구,서울압구정초등학교,2020-01-01
강북구,서울송중초등학교,2017-01-01
강북구,서울번동초등학교,2018-01-01
강북구,서울미양초등학교,2018-01-01
강북구,서울인수초등학교,2018-01-01
강북구,서울우이초등학교,2019-01-01
관악구,서울신우초등학교,2015-01-01
관악구,서울청룡초등학교,2016-01-01
관악구,서울미성초등학교,2017-01-01
관악구,서울봉현초등학교,2017-01-01
관악구,서울구암초등학교,2017-01-01
관악구,서울조원초등학교,2017-01-01
관악구,서울난곡초등학교,2017-01-01
관악구,서울원당초등학교,2017-01-01
관악구,서울원신초등학교,2017-01-01
관악구,서울봉현초등학교,2017-01-01
관악구,서울난향초등학교,2017-01-01
관악구,서울사당초등학교,2018-01-01
관악구,서울봉현초등학교,2018-01-01
관악구,관악노인종합복지관1,2018-01-01
관악구,관악노인종합복지관2,2018-01-01
관악구,관악구민종합체육센터,2018-01-01
관악구,서울구암초등학교,2019-01-01
