학교명,도로명주소,설치일
서울신우초등학교,서울특별시 관악구 호암로 498,2015-01-01
서울청룡초등학교,서울특별시 관악구 관악로5길 61,2016-01-01
서울미성초등학교,서울특별시 관악구 문성로 79,2017-01-01
서울봉현초등학교,서울특별시 관악구 성현로 117,2017-01-01
서울구암초등학교,서울특별시 관악구 구암길 1,2017-01-01
서울조원초등학교,서울특별시 관악구 조원로 67,2017-01-01
서울난곡초등학교,서울특별시 관악구 난곡로35길 10,2017-01-01
서울원당초등학교,서울특별시 관악구 봉천로 505 ,2017-01-01
서울원신초등학교,서울특별시 관악구 광신길 177 ,2017-01-01
서울봉현초등학교,서울특별시 관악구 성현로 117 ,2017-01-01
서울난향초등학교,서울특별시 관악구 난향길 9,2017-01-01
서울사당초등학교,서울특별시 관악구 남현4길 51,2018-01-01
서울봉현초등학교,서울특별시 관악구 성현로 117 ,2018-01-01
관악노인종합복지관1,서울특별시 관악구 보라매로 35,2018-01-01
관악노인종합복지관2,서울특별시 관악구 보라매로 35,2018-01-01
관악구민종합체육센터,서울특별시 관악구 낙성대로3길 37,2018-01-01
서울구암초등학교,서울특별시 관악구 구암길 1,2019-01-01
