연번,설치학교명,도로명 주소,설치년도,수량,관리기관,전화번호,데이터기준일자
1,구남초등학교,서울특별시 광진구 구의강변로 69,2016,1,서울특별시 광진구청 교통행정과,02-450-7928,2022-01-01
2,광진초등학교,서울특별시 광진구 자양로40길 41,2019,1,서울특별시 광진구청 교통행정과,02-450-7928,2022-01-01
3,광장초등학교,서울특별시 광진구 광장로 45,2016,1,서울특별시 광진구청 교통행정과,02-450-7928,2022-01-01
4,광장초등학교,서울특별시 광진구 광장로1길 1,2016,1,서울특별시 광진구청 교통행정과,02-450-7928,2022-01-01
5,광장초등학교,서울특별시 광진구 광장로3길 2,2016,1,서울특별시 광진구청 교통행정과,02-450-7928,2022-01-01
6,광장초등학교,서울특별시 광진구 광장로 56,2016,1,서울특별시 광진구청 교통행정과,02-450-7928,2022-01-01
7,성자초등학교,서울특별시 광진구 뚝섬로56길 7,2017,1,서울특별시 광진구청 교통행정과,02-450-7928,2022-01-01
8,양남초등학교,서울특별시 광진구 뚝섬로64길 71,2017,1,서울특별시 광진구청 교통행정과,02-450-7928,2022-01-01
9,신양초등학교,서울특별시 광진구 능동로 42,2017,1,서울특별시 광진구청 교통행정과,02-450-7928,2022-01-01
10,동자초등학교,서울특별시 광진구 뚝섬로 561,2017,1,서울특별시 광진구청 교통행정과,02-450-7928,2022-01-01
11,세종초등학교,서울특별시 광진구 군자로 114,2017,1,서울특별시 광진구청 교통행정과,02-450-7928,2022-01-01
12,장안초등학교,서울특별시 광진구 군자로 74,2017,1,서울특별시 광진구청 교통행정과,02-450-7928,2022-01-01
13,구남초등학교,서울특별시 광진구 구의강변로 69,2019,1,서울특별시 광진구청 교통행정과,02-450-7928,2022-01-01
14,구남초등학교,서울특별시 광진구 구의강변로 69,2019,1,서울특별시 광진구청 교통행정과,02-450-7928,2022-01-01
15,구남초등학교,서울특별시 광진구 구의강변로 69,2019,1,서울특별시 광진구청 교통행정과,02-450-7928,2022-01-01
16,동의초등학교,서울특별시 광진구 영화사로 111,2019,1,서울특별시 광진구청 교통행정과,02-450-7928,2022-01-01
17,동의초등학교,서울특별시 광진구 영화사로 105,2017,1,서울특별시 광진구청 교통행정과,02-450-7928,2022-01-01
18,동의초등학교,서울특별시 광진구 영화사로16길 43,2017,1,서울특별시 광진구청 교통행정과,02-450-7928,2022-01-01
19,동의초등학교,서울특별시 광진구 영화사로16길 43,2017,1,서울특별시 광진구청 교통행정과,02-450-7928,2022-01-01
20,동의초등학교,서울특별시 광진구 구의동 6,2017,1,서울특별시 광진구청 교통행정과,02-450-7928,2022-01-01
21,동의초등학교,서울특별시 광진구 구의동 5-2,2017,1,서울특별시 광진구청 교통행정과,02-450-7928,2022-01-01
22,양진초등학교,서울특별시 광진구 워커힐로 32,2018,1,서울특별시 광진구청 교통행정과,02-450-7928,2022-01-01
23,경복초등학교,서울특별시 광진구 천호대로130길 58,2018,1,서울특별시 광진구청 교통행정과,02-450-7928,2022-01-01
24,구남초등학교,서울특별시 광진구 구의강변로 69,2019,1,서울특별시 광진구청 교통행정과,02-450-7928,2022-01-01
25,구남초등학교,서울특별시 광진구 구의강변로 69,2019,1,서울특별시 광진구청 교통행정과,02-450-7928,2022-01-01
26,구남초등학교,서울특별시 광진구 구의강변로 69,2019,1,서울특별시 광진구청 교통행정과,02-450-7928,2022-01-01
27,구남초등학교,서울특별시 광진구 구의강변로 69,2019,1,서울특별시 광진구청 교통행정과,02-450-7928,2022-01-01
28,구남초등학교,서울특별시 광진구 구의강변로 69,2019,1,서울특별시 광진구청 교통행정과,02-450-7928,2022-01-01
29,구남초등학교,서울특별시 광진구 구의강변로 69,2019,1,서울특별시 광진구청 교통행정과,02-450-7928,2022-01-01
30,자양초등학교,서울특별시 광진구 아차산로44길 26,2019,1,서울특별시 광진구청 교통행정과,02-450-7928,2022-01-01
31,광남초등학교,서울특별시 광진구 아차산로70길 35,2019,1,서울특별시 광진구청 교통행정과,02-450-7928,2022-01-01
32,광남초등학교,서울특별시 광진구 아차산로70길 35,2019,1,서울특별시 광진구청 교통행정과,02-450-7928,2022-01-01
33,신자초등학교,서울특별시 광진구 뚝섬로46길 64,2019,1,서울특별시 광진구청 교통행정과,02-450-7928,2022-01-01
34,양진초등학교,서울특별시 광진구 워커힐로 32,2020,1,서울특별시 광진구청 교통행정과,02-450-7928,2022-01-01
35,양진초등학교,서울특별시 광진구 워커힐로 32,2020,1,서울특별시 광진구청 교통행정과,02-450-7928,2022-01-01
36,성동초등학교,서울특별시 광진구 뚝섬로66길 4,2017,1,서울특별시 광진구청 교통행정과,02-450-7928,2022-01-01
