설치장소,설치일,설치개소,도로명주소,지번주소,위도,경도
서울온수초등학교,2016/01/01,1,서울특별시 구로구 부일로 893,서울특별시 구로구 온수동 9-34,37.494005058,126.82596668
서울오류남초등학교,2017/01/01,1,서울특별시 구로구 서해안로24길 22,서울특별시 구로구 오류동 332-59,37.489686518,126.83911273
서울덕의초등학교,2017/01/01,1,서울특별시 구로구 고척로 213,서울특별시 구로구 고척동 287-8,37.506027965,126.85734603
서울구일초등학교,2017/01/01,2,서울특별시 구로구 구일로 68,서울특별시 구로구 구로동 685-221,37.493191873,126.87347271
서울신도림초등학교,2017/01/01,1,서울특별시 구로구 신도림로19길 44,서울특별시 구로구 신도림동 302-65,37.51198439,126.88325455
서울고산초등학교,2017/01/01,1,서울특별시 구로구 중앙로 6,서울특별시 구로구 고척동 76-380,37.498972551,126.86477271
서울구로초등학교,2018/01/01,1,서울특별시 구로구 구로중앙로27나길 9,서울특별시 구로구 구로동 443,37.497461874,126.88655427
서울세곡초등학교,2018/01/01,2,서울특별시 구로구 고척로33길 34,서울특별시 구로구 고척동 253-129,37.505056103,126.84911983
서울동구로초등학교,2018/01/01,2,서울특별시 구로구 구로중앙로14길 43,서울특별시 구로구 구로동 93,37.494070534,126.89278019
서울미래초등학교,2019/01/01,1,서울특별시 구로구 새말로 73,서울특별시 구로구 구로동 556-1,37.505106649,126.88808026
서울신구로초등학교,2019/01/01,1,서울특별시 구로구 가마산로27길 69,서울특별시 구로구 구로동 105,37.499660032,126.88976313
서울천왕초등학교,2019/01/01,2,서울특별시 구로구 천왕로1길 11,서울특별시 구로구 천왕동 273-2,37.48145598,126.83706293
서울고원초등학교,2019/01/01,1,서울특별시 구로구 경인로46길 13,서울특별시 구로구 고척동 66-26,37.49761122,126.86579927
서울매봉초등학교,2019/01/01,1,서울특별시 구로구 고척로21길 55,서울특별시 구로구 개봉동 7-37,37.504915234,126.8443653
서울신미림초등학교,2019/01/01,1,서울특별시 구로구 신도림로 26,서울특별시 구로구 신도림동 398-28,37.50714192,126.87955274
서울영서초등학교,2019/01/01,1,서울특별시 구로구 도림로20길 57,서울특별시 구로구 구로동 179-151,37.488960821,126.89558334
서울하늘숲초등학교,2019/01/01,3,서울특별시 구로구 오리로 1106,서울특별시 구로구 천왕동 산 13-1,37.484159428,126.841482
서울구로남초등학교,2020/01/01,2,서울특별시 구로구 연동로 178,서울특별시 구로구 항동 160,37.47701589,126.82411027
서울항동초등학교,2020/01/01,1,서울특별시 구로구 디지털로27길 76,서울특별시 구로구 구로동 253,37.484206025,126.8902182
서울오정초등학교,2020/01/01,1,서울특별시 구로구 경인로2길 10,서울특별시 구로구 오류동 108-28,37.490165665,126.82643919
