연번,시도,시군구,학교명,설치일자,데이터기준일자,비고(수정사항)
1,서울특별시,금천구,서울독산초등학교,2019/09/26,2021-09-28,
2,서울특별시,금천구,서울탑동초등학교,2019/09/26,2021-09-28,
3,서울특별시,금천구,서울금산초등학교,2019/09/26,2021-09-28,
4,서울특별시,금천구,서울정심초등학교,2019/09/26,2021-09-28,
5,서울특별시,금천구,서울문교초등학교,2016/06/07,2021-09-28,
6,서울특별시,금천구,서울문성초등학교,2017/09/21,2021-09-28,설치위치 : 금천초교->문성초교설치일자 : 2017.9.21.
7,서울특별시,금천구,서울신흥초등학교,2016/06/08,2021-09-28,
8,서울특별시,금천구,서울백산초등학교,2016/06/08,2021-09-28,
9,서울특별시,금천구,서울가산초등학교,2016/10/10,2021-09-28,
10,서울특별시,금천구,서울두산초등학교,2016/10/10,2021-09-28,
