학교명,설치위치,구분,설치일
경동초등학교,성동구 성수일로 34(경동초 정문 앞),블록형,2020-08-30
경수초등학교,성동구 뚝섬로13길 22(경수초 정문 앞),도막형,2018-04-30
경일초등학교,성동구 뚝섬로 332(경일초 정문 앞),도막형,2017-09-26
금북초등학교,성동구 난계로 84(풍림아이원 아파트 112~113동 사이),도막형,2019-07-05
금북초등학교,성동구 난계로 36(논골사거리 북동측 횡단보도),도막형,2017-12-09
금옥초등학교,성동구 독서당로 272(금호대우아파트 103동 인근 횡단보도),도막형,2017-12-09
금호초등학교,성동구 무수막길69(금호초 정문 앞),블록형,2020-08-30
동명초등학교,성동구 마장로29길 29(동명초 정문 앞),블록형,2020-08-30
동호초등학교,성동구 동호로5길 133(동호초 후문 앞),도막형,2018-04-30
마장초등학교,성동구 마장로35나길 31(마장초등학교 정문 인근 교차로),블록형,2020-08-30
무학초등학교,성동구 무학봉길25길 20(일미식당 앞),도막형,2018-04-30
사근초등학교,성동구 사근동11길 16(사근초 정문 앞),블록형,2020-08-30
성수초등학교,성동구 아차산로17길 21(성수초 정문 앞),도막형,2018-04-30
송원초등학교,성동구 동일로43길 9(송원초 후문 앞),도막형,2018-04-30
숭신초등학교,성동구 마장로161(숭신초 정문 앞),도막형,2017-10-18
옥수초등학교,성동구 금호로 40(힐스테이트 서울숲리버아파트 부출입구),도막형,2017-12-09
옥정초등학교,성동구 한림말길 43(옥정초 정문 앞),블록형,2020-08-30
용답초등학교,성동구 용답25길 1(용답초 정문 앞),도막형,2018-04-30
응봉초등학교,성동구 독서당로62길18(현대정비센터 맞은편),블록형,2020-08-30
행당초등학교,성동구 고산자로8길6(고산자로 횡단보도 우측),도막형,2018-08-19
행당초등학교,성동구 고산자로8길6(고산자로 횡단보도 좌측),도막형,2018-08-19
행당초등학교,성동구 고산자로8길 6(행당초 정문 앞),도막형,2017-10-17
행현초등학교,성동구 행당로 95(행현초 후문 앞-행당로9길),도막형,2017-10-18
