구,학교명,설치일
송파구,서울문정초등학교,2020/11/30
,서울가주초등학교,2020/11/30
,서울오금초등학교,2016/10/20
,서울석촌초등학교,2016/10/20
,서울풍성초등학교,2017/06/21
,서울신가초등학교,2017/06/22
,서울아주초등학교,2020/11/30
,서울문현초등학교,2019/11/27
,서울거여초등학교,2017/06/23
,서울위례별초등학교,2018/11/05
,서울송전초등학교,2019/05/21
,서울송파초등학교,2019/07/30
,서울신천초등학교,2019/05/21
,서울영풍초등학교,2019/12/20
,서울풍납초등학교,2019/12/20
,서울거원초등학교,2020/11/30
,서울문덕초등학교,2020/11/30
,서울가동초등학교,2020/11/30
광진구,서울광진초등학교,2019/01/01
,서울광장초등학교,2016/01/01
,서울성자초등학교,2017/01/01
,서울양남초등학교,2017/01/01
,서울신양초등학교,2017/01/01
,서울동자초등학교,2017/01/01
,세종초등학교,2017/01/01
,서울장안초등학교,2017/01/01
,서울동의초등학교,2019/01/01
,경복초등학교,2018/01/01
,서울구남초등학교,2019/01/01
,서울자양초등학교,2019/01/01
,서울광남초등학교,2019/01/01
,서울신자초등학교,2019/01/01
,서울양진초등학교,2020/01/01
,성동초등학교,2017/01/01
성동구,서울경동초등학교,2020/08/30
,서울경수초등학교,2018/04/30
,서울경일초등학교,2017/09/26
,서울금북초등학교,2019/07/05
,서울금옥초등학교,2017/12/09
,서울금호초등학교,2020/08/30
,서울동명초등학교,2020/08/30
,서울동호초등학교,2018/04/30
,서울마장초등학교,2020/08/30
,서울무학초등학교,2018/04/30
,서울사근초등학교,2020/08/30
,서울성수초등학교,2018/04/30
,서울송원초등학교,2018/04/30
,서울숭신초등학교,2017/10/18
,서울옥수초등학교,2017/12/09
,서울옥정초등학교,2020/08/30
,서울용답초등학교,2018/04/30
,서울응봉초등학교,2020/08/30
,서울행당초등학교,2018/08/19
,서울행현초등학교,2017/10/18
