연번,행정동,시설명,주소,세부위치,설치일
1,문정1동,문정초등학교,서울특별시 송파구 문정로5길 20,정문 앞 횡단보도,2020-11-30
2,가락2동,가주초등학교,서울특별시 송파구 오금로40길 37,정문 좌측 횡단보도(사인블록형 옐로카펫),2020-11-30
3,오금동,오금초등학교,서울특별시 송파구 위례성대로22길 11,정문 앞 횡단보도,2016-10-20
4,석촌동,석촌초등학교,서울특별시 송파구 가락로11길 26,정문 우측 횡단보도,2016-10-20
5,풍납2동,풍성초등학교,서울특별시 송파구 강동대로 62,정문 우측 횡단보도,2017-06-21
6,가락본동,신가초등학교,서울특별시 송파구 송이로 75,정문 앞 횡단보도,2017-06-22
7,잠실본동,아주초등학교,서울특별시 송파구 올림픽로4길 59,정문 앞 횡단보도(사인블록형 옐로카펫),2020-11-30
8,장지동,문현초등학교,서울특별시 송파구 충민로 137,정문 앞 교차로(사인블록형 옐로카펫),2019-11-27
9,오금동,거여초등학교,서울특별시 송파구 마천로25길 18,정문 앞 횡단보도,2017-06-23
10,위례동,위례별초등학교,서울특별시 송파구 위례광장로 243 ,교차로 앞 횡단보도,2018-11-05
11,거여2동,거원초등학교,서울특별시 송파구 양산로2길 26,정문 주변 횡단보도,2019-05-21
12,거여2동,거원초등학교,서울특별시 송파구 양산로2길 26,후문 주변 횡단보도,2019-05-21
13,잠실동,송전초등학교,서울특별시 송파구 석촌호수로 159,정문 주변 횡단보도,2019-05-21
14,송파1동,송파초등학교,서울특별시 송파구 백제고분로 400,정문 주변 횡단보도(사인블록형 옐로카펫),2019-07-30
15,잠실동,신천초등학교,서울특별시 송파구 올림픽로 215,후문 주변 횡단보도,2019-05-21
16,잠실동,신천초등학교,서울특별시 송파구 올림픽로 215,정문 주변 횡단보도,2019-05-21
17,거여동,영풍초등학교,서울특별시 송파구 오금로57길 15,후문 주변 횡단보도(사인블록형 옐로카펫),2019-12-20
18,풍납1동,풍납초등학교,서울특별시 송파구 풍성로 43,정문 주변 횡단보도(사인블록형 옐로카펫),2019-12-20
19,거여2동,거원초등학교,서울특별시 송파구 양산로2길 26,후문 주변 횡단보도(사인블록형 옐로카펫),2020-11-30
20,문정1동,문덕초등학교,서울특별시 송파구 송이로34길 60,후문 주변 횡단보도(사인블록형 옐로카펫),2020-11-30
21,가락2동,가동초등학교,서울특별시 송파구 중대로20길 47,가주초교 사잇길 교차로(사인블록형 옐로카펫),2020-11-30
22,가락2동,가동초등학교,서울특별시 송파구 중대로20길 47,구치소 사잇길 교차로(사인블록형 옐로카펫),2020-11-30
23,가락2동,가동초등학교,서울특별시 송파구 중대로20길 47,후문 주변 횡단보도(사인블록형 옐로카펫),2020-11-30
24,가락2동,가주초등학교,서울특별시 송파구 오금로40길 37,가동초교 사잇길 교차로(사인블록형 옐로카펫),2020-11-30
