구,학교명,설치일
양천구,서울계남초등학교,2016/06/07
,서울강신초등학교,2016/09/30
,서울갈산초등학교,2016/10/06
,서울강서초등학교,2017/07/12
,서울신강초등학교,2017/09/13
,서울양명초등학교,2017/09/13
,서울서정초등학교,2017/10/24
,서울강서초등학교,2017/11/16
,서울강월초등학교,2018/10/22
,서울양강초등학교,2018/10/22
,서울갈산초등학교,2019/07/18
,서울서정초등학교,2019/07/18
,서울신서초등학교,2019/07/18
,서울신목초등학교,2019/07/18
구로구,서울온수초등학교,2016/01/01
,서울오류남초등학교,2017/01/01
,서울덕의초등학교,2017/01/01
,서울구일초등학교,2017/01/01
,서울신도림초등학교,2017/01/01
,서울고산초등학교,2017/01/01
,서울구로초등학교,2018/01/01
,서울세곡초등학교,2018/01/01
,서울동구로초등학교,2018/01/01
,서울미래초등학교,2019/01/01
,서울신구로초등학교,2019/01/01
,서울천왕초등학교,2019/01/01
,서울고원초등학교,2019/01/01
,서울매봉초등학교,2019/01/01
,서울신미림초등학교,2019/01/01
,서울영서초등학교,2019/01/01
,서울하늘숲초등학교,2019/01/01
,서울구로남초등학교,2020/01/01
,서울항동초등학교,2020/01/01
,서울오정초등학교,2020/01/01
금천구,서울독산초등학교,2019/09/26
,서울탑동초등학교,2019/09/26
,서울금산초등학교,2019/09/26
,서울정심초등학교,2019/09/26
,서울문교초등학교,2016/06/07
,서울문성초등학교,2017/09/21
,서울신흥초등학교,2016/06/08
,서울백산초등학교,2016/06/08
,서울가산초등학교,2016/10/10
,서울두산초등학교,2016/10/10
